Cluster Index,Channel Name,Channel Type,x (um),y (um),z (um),Current Index,Current String
1,CaChC1PQ1_Membrane,PQ,-0.0010430608998476774,0.09861259234935041,0.42,654,((956.7024366713058*t+-0.48629439174698064)*(t>=0.0006142256090462471)*(t<0.0006627054936025356)) + ((851.140668275286*t+-0.4137963839233906)*(t>=0.0006810938615272745)*(t<0.0008127093970969329))
1,CaChC1PQ2_Membrane,PQ,-0.004685096062443209,0.10250752839715156,0.42,953,0.0
1,CaChC1PQ3_Membrane,PQ,0.005448586411801413,0.1031495338382196,0.42,987,0.0
1,CaChC1PQ4_Membrane,PQ,0.017667948596285215,0.09451775457079953,0.42,472,0.0
1,CaChC1PQ5_Membrane,PQ,0.002953833916487167,0.0998375589241721,0.42,969,((472.70685744197687*t+-0.17328099469062058)*(t>=0.0004668738969434288)*(t<0.0006475853895157778))
1,CaChC1PQ6_Membrane,PQ,-0.008174980922872296,0.0822765281650178,0.42,359,((557.3431796487071*t+-0.23402876550861335)*(t>=0.0004929112945260386)*(t<0.0006330388299284509)) + ((977.5297576903939*t+-0.5000858624051242)*(t>=0.0006358037950525203)*(t<0.0007119769599698125))
1,CaChC1PQ7_Membrane,PQ,0.003679092323873561,0.09421904594869705,0.42,385,((988.1999999999823*t+-0.5071679999999883)*(t>=0.0006600073559052262)*(t<0.0006632420524776612))
1,CaChC1N1_Membrane,N,0.001531973795086838,0.10166320043097947,0.42,727,0.0
1,CaChC1N2_Membrane,N,-0.0007276704629538798,0.10250837465396428,0.42,585,0.0
1,CaChC1N3_Membrane,N,-0.014654267656766494,0.09634968637426583,0.42,247,((274.7380884779671*t+-0.10006205334992105)*(t>=0.0005185277429545307)*(t<0.0005301311869444677)) + ((447.21965320773205*t+-0.19152688403866433)*(t>=0.0005303770321665893)*(t<0.0005538919892533359)) + ((644.7767464427494*t+-0.30103339366446846)*(t>=0.000554775401599461)*(t<0.0005781369643500893)) + ((921.5922250281938*t+-0.46108167738731326)*(t>=0.0005781934092410069)*(t<0.0006925651960181658)) + ((764.3790209742208*t+-0.35210508071378266)*(t>=0.0006930170255072457)*(t<0.0008595149584758556)) + ((213.88721425958553*t+0.12127168153465737)*(t>=0.000860290852170875)*(t<0.001113563558378313))
1,CaChC1N4_Membrane,N,-0.006357118858964459,0.085942149002808,0.42,991,((473.3517463471557*t+-0.1686783868808645)*(t>=0.0006574522332499718)*(t<0.001115964539186264))
1,CaChC1N5_Membrane,N,-0.024372720129476378,0.09091865327911536,0.42,368,0.0
1,CaChC1N6_Membrane,N,-0.006576824997340138,0.09627654756366882,0.42,700,0.0
1,CaChC1N7_Membrane,N,-0.011468496463166325,0.08697034671887496,0.42,94,0.0
1,CaChC1N8_Membrane,N,0.015583207522473884,0.09106055351143552,0.42,370,0.0
1,CaChC1R1_Membrane,R,0.020204080399162272,0.11397957949222583,0.42,749,0.0
2,CaChC2PQ1_Membrane,PQ,-0.015809177586588116,-0.10810516485075183,0.42,129,0.0
2,CaChC2PQ2_Membrane,PQ,-0.022211133805956393,-0.09325018703857044,0.42,1,((509.06410319582267*t+-0.16563126833014194)*(t>=0.00044455405142756923)*(t<0.0007140759316952747)) + ((757.7854745866647*t+-0.3432203901465432)*(t>=0.0007141657922015764)*(t<0.0008459518735742407)) + ((465.61227741783125*t+-0.095769324869526)*(t>=0.0008500221888058455)*(t<0.0008904685184069305))
2,CaChC2PQ3_Membrane,PQ,0.0015280226771839534,-0.10654366357248149,0.42,114,0.0
2,CaChC2PQ4_Membrane,PQ,-0.00904438435957955,-0.09712366314307176,0.42,861,((890.6428077097121*t+-0.43999130129028385)*(t>=0.0006886809063127735)*(t<0.0007799766742748736))
2,CaChC2PQ5_Membrane,PQ,-0.015453339214027967,-0.09135110788321503,0.42,565,0.0
2,CaChC2PQ6_Membrane,PQ,0.005134317021185252,-0.11811114135845277,0.42,171,((956.2060058630526*t+-0.4864618145074898)*(t>=0.0006434525303980152)*(t<0.0007462674025437928)) + ((328.00769447936614*t+-0.017526137282997983)*(t>=0.0007465119857770061)*(t<0.0011540746137435318))
2,CaChC2PQ7_Membrane,PQ,4.402127331516058e-05,-0.10033358364612711,0.42,205,0.0
2,CaChC2N1_Membrane,N,-0.015949849107458662,-0.08317656839531024,0.42,701,0.0
2,CaChC2N2_Membrane,N,0.019472094516316617,-0.10348033325318834,0.42,790,0.0
2,CaChC2N3_Membrane,N,-0.01628964434516506,-0.10075115912894096,0.42,236,((878.4786264617574*t+-0.4349919542011567)*(t>=0.0005715413002097957)*(t<0.0008079773207338538))
2,CaChC2N4_Membrane,N,0.008506215070836282,-0.10897182663119648,0.42,406,((809.5916620868527*t+-0.3864068671177123)*(t>=0.0005364430335186196)*(t<0.0006760016597937339)) + ((866.2730697930792*t+-0.419665624223298)*(t>=0.0007314025904083738)*(t<0.0007616971234683181))
2,CaChC2N5_Membrane,N,0.0010067217823962052,-0.08340358330014412,0.42,874,0.0
2,CaChC2N6_Membrane,N,-0.005612040839700475,-0.07872210299940527,0.42,49,((928.4236772893906*t+-0.4675010990092327)*(t>=0.0005938447569150398)*(t<0.0006635888457509122)) + ((632.7205071165897*t+-0.271022706326739)*(t>=0.0006642984827462227)*(t<0.0009704189457135872))
2,CaChC2N7_Membrane,N,-0.002281442079144561,-0.09847715599404792,0.42,195,((938.0975239260258*t+-0.47437918340722623)*(t>=0.0006541856103089448)*(t<0.0007617414444624082)) + ((564.7772658921252*t+-0.18972364057011684)*(t>=0.0007628403005320299)*(t<0.0009187656239886331))
