Cluster Index,Channel Name,Channel Type,x (um),y (um),z (um),Current Index,Current String
1,CaChC1PQ1_Membrane,PQ,0.002332613691256763,0.08700111906356796,0.42,199,((635.638732263864*t+-0.2823900542993795)*(t>=0.0005084720179709017)*(t<0.0006367971827102168)) + ((986.4239943618729*t+-0.5059745718172061)*(t>=0.00064980636952829)*(t<0.0006677668493833126)) + ((978.656842318156*t+-0.5007749757284641)*(t>=0.000668824537290663)*(t<0.000707721368651816)) + ((629.2207534510203*t+-0.25119811046102386)*(t>=0.000714817366897367)*(t<0.000926049756480275))
1,CaChC1PQ2_Membrane,PQ,-0.009004134109583405,0.0822437723381953,0.42,157,0.0
1,CaChC1PQ3_Membrane,PQ,0.022208753054788463,0.09812377225729331,0.42,492,0.0
1,CaChC1PQ4_Membrane,PQ,0.0029836911430492544,0.1018912083232966,0.42,653,((339.9588051754351*t+-0.13437872245959653)*(t>=0.0005235060274904769)*(t<0.0005380015126975233)) + ((856.6897879803332*t+-0.4134941948267225)*(t>=0.0005405697041117824)*(t<0.0007184886187531923))
1,CaChC1PQ5_Membrane,PQ,-0.026255175970081528,0.10419691827935622,0.42,888,((975.3950793535372*t+-0.49878568813573126)*(t>=0.0006399249547997013)*(t<0.0006532429036331952)) + ((955.5577175382409*t+-0.48570842776664186)*(t>=0.0006573637884318416)*(t<0.0007430236188782735)) + ((764.6810458222787*t+-0.34310976237430335)*(t>=0.0007506130523300765)*(t<0.000808647630128272))
1,CaChC1PQ6_Membrane,PQ,0.009100244630826898,0.11399352378176053,0.42,590,((552.1505501210585*t+-0.24837104583509506)*(t>=0.0005368724669258955)*(t<0.0005723730769298703)) + ((820.0185988684126*t+-0.4020328012959015)*(t>=0.0005751305907435544)*(t<0.0008658700562541628))
1,CaChC1PQ7_Membrane,PQ,0.0017370148232301221,0.07016301905147852,0.42,122,((920.7647730248166*t+-0.46413981740229115)*(t>=0.0006313510041469781)*(t<0.0007839972253916055))
1,CaChC1N1_Membrane,N,0.016916948368105797,0.08805485637970212,0.42,677,((523.4981036023854*t+-0.19840398269406986)*(t>=0.0006644320866035644)*(t<0.001058505041529709))
1,CaChC1N2_Membrane,N,0.014404784199129312,0.08688299079158636,0.42,832,0.0
1,CaChC1N3_Membrane,N,-0.010403452769610355,0.11207494931364007,0.42,551,((483.4100368019426*t+-0.16872472513720216)*(t>=0.0004571897601501561)*(t<0.0006704398107081623)) + ((432.05359628434195*t+-0.13424277820993247)*(t>=0.0006705302553592659)*(t<0.001145681116013697))
1,CaChC1N4_Membrane,N,0.021995324438822465,0.0947561338293504,0.42,907,((-697.201971398787*t+0.37412990640036736)*(t>=0.0004265240858180936)*(t<0.00047102987416023474)) + ((140.25394339783938*t+-0.02099013289219248)*(t>=0.0004723171530144223)*(t<0.0005551264147909732)) + ((871.1235618444152*t+-0.4280662604738101)*(t>=0.0005597523337293818)*(t<0.0008028418234556745))
1,CaChC1N5_Membrane,N,-0.001432215841046155,0.09848334842125711,0.42,334,((312.6125977459734*t+-0.05781250642963756)*(t>=0.00066512903004281)*(t<0.001346482545695999))
1,CaChC1N6_Membrane,N,-0.00921376385280831,0.10269131380196131,0.42,289,((860.2684963747319*t+-0.4261727251725887)*(t>=0.0005827091834050756)*(t<0.0008333246279861355))
1,CaChC1N7_Membrane,N,-0.003618933636860765,0.09771072250706078,0.42,576,0.0
1,CaChC1N8_Membrane,N,0.010817273381229807,0.08742924056429266,0.42,221,0.0
1,CaChC1R1_Membrane,R,0.006721524766796468,0.10095036483481368,0.42,86,0.0
