Cluster Index,Channel Name,Channel Type,x (um),y (um),z (um),Current Index,Current String
1,CaChC1PQ1_Membrane,PQ,-0.016726530370864256,0.09198622948789593,0.42,339,((649.3523919600133*t+-0.29120900261336247)*(t>=0.0006365185829326722)*(t<0.0009795123486102644))
1,CaChC1PQ2_Membrane,PQ,0.006327230881814327,0.09228437061439639,0.42,825,((-161.6980564178137*t+0.12338237407275235)*(t>=0.0004652018560096173)*(t<0.0005097741000756693)) + ((294.33701800769217*t+-0.10917914282128602)*(t>=0.000510265454501859)*(t<0.001605015726594539))
1,CaChC1PQ3_Membrane,PQ,-0.005320926644410784,0.09979856514264385,0.42,31,((952.7448178665695*t+-0.4842210059188292)*(t>=0.0006441639448133878)*(t<0.000750077366234633))
1,CaChC1PQ4_Membrane,PQ,0.023627774102237126,0.09601469108404427,0.42,291,((670.6830957472453*t+-0.30450927429064206)*(t>=0.0006374769350709886)*(t<0.0009629810806124813))
1,CaChC1PQ5_Membrane,PQ,-0.024838791782151055,0.08477980273199812,0.42,650,0.0
1,CaChC1PQ6_Membrane,PQ,-0.025563947839765816,0.08888970058598751,0.42,12,((840.1960990585762*t+-0.4137409971287167)*(t>=0.0005759099677693253)*(t<0.0006267989427644579)) + ((571.4261535297749*t+-0.24185131417530936)*(t>=0.0006358879202350314)*(t<0.0010431209168781854))
1,CaChC1PQ7_Membrane,PQ,-0.02209594981680186,0.08111425291970122,0.42,888,((975.3950793535372*t+-0.49878568813573126)*(t>=0.0006399249547997013)*(t<0.0006532429036331952)) + ((955.5577175382409*t+-0.48570842776664186)*(t>=0.0006573637884318416)*(t<0.0007430236188782735)) + ((764.6810458222787*t+-0.34310976237430335)*(t>=0.0007506130523300765)*(t<0.000808647630128272))
1,CaChC1N1_Membrane,N,0.0009914924418593036,0.09539044528070739,0.42,376,0.0
1,CaChC1N2_Membrane,N,-0.0005068705248522254,0.09913621131017565,0.42,848,((972.8833480135212*t+-0.49688491469918405)*(t>=0.000626123358246655)*(t<0.0007157727849225388)) + ((920.5602912562869*t+-0.45943341006725646)*(t>=0.0007157772272773558)*(t<0.0007348180823331953)) + ((640.8615285738639*t+-0.25384858640961017)*(t>=0.0007350396695343884)*(t<0.0008986247416794149))
1,CaChC1N3_Membrane,N,0.010392076156339523,0.10712948310248818,0.42,984,((935.5432546516762*t+-0.4716841531593997)*(t>=0.0006735357471974155)*(t<0.0007543796762087802))
1,CaChC1N4_Membrane,N,0.0015834720077355958,0.09142236903401019,0.42,975,0.0
1,CaChC1N5_Membrane,N,-0.01542573917954248,0.09960630490822726,0.42,167,((988.2000000000089*t+-0.5071464000000061)*(t>=0.0006770389028701913)*(t<0.0006808375229628471)) + ((972.1746276844907*t+-0.49620783761990317)*(t>=0.0006828974203974509)*(t<0.000708833631961092)) + ((699.719795421754*t+-0.30231949654107826)*(t>=0.0007118655569918409)*(t<0.0008837625166400686))
