Cluster Index,Channel Name,Channel Type,x (um),y (um),z (um),Current Index,Current String
1,CaChC1PQ1_Membrane,PQ,-0.00199002729911887,0.10343623559705054,0.42,470,0.0
1,CaChC1PQ2_Membrane,PQ,-0.013472892689011978,0.09902701751480444,0.42,179,0.0
1,CaChC1PQ3_Membrane,PQ,-0.00801877979568488,0.11648040987602276,0.42,660,0.0
1,CaChC1PQ4_Membrane,PQ,0.006216018993204184,0.09029110003682692,0.42,631,0.0
1,CaChC1PQ5_Membrane,PQ,0.01178129983458289,0.09519310375122218,0.42,516,((640.0983182432599*t+-0.2903696214671197)*(t>=0.0005205937733938967)*(t<0.0006196622396967689)) + ((972.6244593265233*t+-0.49685302097305184)*(t>=0.0006302863982693245)*(t<0.0006622549575125438)) + ((805.5264779923396*t+-0.38571479241685)*(t>=0.0006648522736599722)*(t<0.0008536077694074214))
1,CaChC1PQ6_Membrane,PQ,-0.0021556607576893086,0.08742248948529087,0.42,613,0.0
1,CaChC1PQ7_Membrane,PQ,0.010649531971298275,0.1142667114816934,0.42,996,((679.134373770586*t+-0.3043621465445155)*(t>=0.0006561743101850105)*(t<0.0009438034819363217))
1,CaChC1N1_Membrane,N,0.002623293407365805,0.12711761732618937,0.42,877,((-233.3231441329762*t+0.16012484395209836)*(t>=0.00045396123782028957)*(t<0.0005104255401273376)) + ((750.0997053519843*t+-0.34210549497206816)*(t>=0.0005108508475687118)*(t<0.0008681018578542921))
1,CaChC1N2_Membrane,N,0.007899334203361424,0.08615706165190032,0.42,989,((822.2288921477985*t+-0.38792806873855534)*(t>=0.0005254846760403531)*(t<0.0007955757115860263))
1,CaChC1N3_Membrane,N,-0.009486374107845122,0.09585514163096787,0.42,707,((975.8606255847893*t+-0.4987557641245677)*(t>=0.0006262954908530547)*(t<0.0006799887573789156))
1,CaChC1N4_Membrane,N,-0.016279483068551846,0.10111396706556085,0.42,110,0.0
1,CaChC1N5_Membrane,N,-0.006912605817561084,0.09834587495890507,0.42,905,((951.5876422324515*t+-0.4828129249824238)*(t>=0.0006651408568710386)*(t<0.0007437573031347968)) + ((592.9938155542013*t+-0.21291799631967173)*(t>=0.0007558002816151275)*(t<0.0009079074861551568))
1,CaChC1N6_Membrane,N,-0.0014377508789906205,0.1142591475226713,0.42,218,((908.9342085290551*t+-0.45284152039257336)*(t>=0.0005735530231968125)*(t<0.0007687263868563838))
1,CaChC1N7_Membrane,N,-0.0009552436662587792,0.12098907734170644,0.42,554,((989.1486078864501*t+-0.5077965489857055)*(t>=0.0006626014759981852)*(t<0.0006662991144394726))
1,CaChC1N8_Membrane,N,-0.015540601018057607,0.10970778978077098,0.42,909,0.0
1,CaChC1R1_Membrane,R,-0.020907078879120317,0.09525947393321092,0.42,994,((451.6380260283272*t+-0.17149616074266716)*(t>=0.0004767160916751473)*(t<0.0011805748097011887))
2,CaChC2PQ1_Membrane,PQ,0.008111287170808912,-0.1120897836984696,0.42,146,((-951.6474250702071*t+0.4879877586606653)*(t>=0.00040464768881906933)*(t<0.00045877719447377026)) + ((-183.64831017076483*t+0.1355680225568248)*(t>=0.00045899148797063716)*(t<0.0005129122062046241)) + ((396.1351931745778*t+-0.16185545157465805)*(t>=0.000513098931083093)*(t<0.0005613736802768583)) + ((746.7360278971057*t+-0.3593088752487827)*(t>=0.0005667756384437577)*(t<0.0005977975929609068)) + ((885.2396971205123*t+-0.44234483146185577)*(t>=0.0006039006896016248)*(t<0.0008162482636280568))
2,CaChC2PQ2_Membrane,PQ,-0.0053222139267384535,-0.08939692948444353,0.42,711,((651.3441711583397*t+-0.27377264739716967)*(t>=0.00048459316821048397)*(t<0.0006930088546898008))
2,CaChC2PQ3_Membrane,PQ,0.0008621218034840131,-0.09628154547458,0.42,244,0.0
2,CaChC2PQ4_Membrane,PQ,0.013766011215812293,-0.11530468775479105,0.42,508,0.0
2,CaChC2PQ5_Membrane,PQ,0.018732381447320312,-0.11307708137346216,0.42,411,0.0
2,CaChC2PQ6_Membrane,PQ,-0.007806473080725768,-0.10283089088582989,0.42,628,0.0
2,CaChC2PQ7_Membrane,PQ,-0.016340643582289795,-0.08948733854385198,0.42,498,0.0
2,CaChC2N1_Membrane,N,0.0006550560270414243,-0.10381559788831422,0.42,198,0.0
2,CaChC2N2_Membrane,N,-0.014031785290838903,-0.09855858682142835,0.42,646,((826.4812841220144*t+-0.39078198132124153)*(t>=0.0007287531466642308)*(t<0.0007905197599242417))
2,CaChC2N3_Membrane,N,-0.013774755391401813,-0.11804876846858561,0.42,371,0.0
2,CaChC2N4_Membrane,N,0.019031601962008853,-0.10688660377319381,0.42,473,0.0
2,CaChC2N5_Membrane,N,-0.002680714229727681,-0.07717842335862526,0.42,870,0.0
2,CaChC2N6_Membrane,N,0.022632843934191117,-0.10890922621963908,0.42,744,0.0
2,CaChC2N7_Membrane,N,-0.0014278656356231754,-0.11196057722494777,0.42,219,0.0
2,CaChC2N8_Membrane,N,-0.0017489133564952233,-0.10064030381805542,0.42,166,((984.5756170545823*t+-0.5047140203664351)*(t>=0.000643270253167216)*(t<0.0006726054256068681)) + ((934.6379632415533*t+-0.47093171088332864)*(t>=0.0006761260644361206)*(t<0.000753591038303101))
2,CaChC2R1_Membrane,R,0.012400922354949004,-0.1048633210901661,0.42,608,((650.8484265843975*t+-0.2959549292680565)*(t>=0.0005205670112665324)*(t<0.0009866319699713528))
