Cluster Index,Channel Name,Channel Type,x (um),y (um),z (um),Current Index,Current String
1,CaChC1PQ1_Membrane,PQ,0.020842982642363377,0.07842367673754122,0.42,704,((989.892486229783*t+-0.5082907617917908)*(t>=0.0006704009693721965)*(t<0.0006761424534233271)) + ((549.4604483711963*t+-0.20911487837482065)*(t>=0.000679290299948452)*(t<0.0010202913052679728))
1,CaChC1PQ2_Membrane,PQ,-0.012453981306631098,0.11245204372780644,0.42,622,((686.7323242146235*t+-0.32445514033189526)*(t>=0.0005559466486364823)*(t<0.0005896936882513976)) + ((846.915358270626*t+-0.41895163351095077)*(t>=0.0005904060693404507)*(t<0.0008470330250275299))
1,CaChC1PQ3_Membrane,PQ,-0.01529106679534362,0.11366020559777106,0.42,547,0.0
1,CaChC1PQ4_Membrane,PQ,-0.002840611346650739,0.12225895327791744,0.42,753,0.0
1,CaChC1PQ5_Membrane,PQ,-0.004899647214658455,0.11412125741235195,0.42,977,0.0
1,CaChC1PQ6_Membrane,PQ,-0.028058989103074212,0.09608845258952964,0.42,400,((935.702209406692*t+-0.4724683831244999)*(t>=0.0006609728996847204)*(t<0.0007609726194201119))
1,CaChC1PQ7_Membrane,PQ,-0.0038584618998029484,0.10420241894464238,0.42,996,((679.134373770586*t+-0.3043621465445155)*(t>=0.0006561743101850105)*(t<0.0009438034819363217))
1,CaChC1N1_Membrane,N,-0.002739382946930086,0.12372346260211008,0.42,369,0.0
1,CaChC1N2_Membrane,N,-0.00911513616036483,0.09725833411456866,0.42,243,((273.5006368270405*t+-0.09694661907055765)*(t>=0.0005022358459113628)*(t<0.0005473149551025771)) + ((761.067938168459*t+-0.36391390319199207)*(t>=0.0005477478811664204)*(t<0.0006280869712436137)) + ((853.3713424651107*t+-0.4218548107738307)*(t>=0.0006284654550670873)*(t<0.000838484077026963))
1,CaChC1N3_Membrane,N,0.0024716873720090965,0.08391667249711615,0.42,140,((118.02003844107543*t+0.048166300379005475)*(t>=0.00040948451951553237)*(t<0.0006379105587193403)) + ((982.7601686412122*t+-0.503518234121876)*(t>=0.0006411386329479797)*(t<0.0006689654414332867)) + ((898.5718523447837*t+-0.4471671992180004)*(t>=0.000669320992918102)*(t<0.0007868138603863227)) + ((579.1255809971849*t+-0.1925650011221406)*(t>=0.0008149513228643745)*(t<0.0008552982810933101))
1,CaChC1N4_Membrane,N,0.0020052843220201393,0.10013635804017458,0.42,726,0.0
1,CaChC1N5_Membrane,N,0.02932477036770742,0.09575056488602694,0.42,117,0.0
1,CaChC1N6_Membrane,N,-0.0025633108929268814,0.08774462797138961,0.42,93,0.0
1,CaChC1N7_Membrane,N,0.002473220408786321,0.10223685834962877,0.42,684,0.0
1,CaChC1N8_Membrane,N,0.0022124089198307154,0.09089278128400242,0.42,814,0.0
1,CaChC1R1_Membrane,R,3.950446253317292e-05,0.07512075678196972,0.42,825,0.0
2,CaChC2PQ1_Membrane,PQ,-0.004071835169982534,-0.1007434711864174,0.42,837,0.0
2,CaChC2PQ2_Membrane,PQ,-0.020983997640296546,-0.09787056750810508,0.42,997,((556.8057664614613*t+-0.2276442187196129)*(t>=0.0004841728258195849)*(t<0.0006478183949124947)) + ((984.4676908686914*t+-0.504691586916017)*(t>=0.0006478335005142542)*(t<0.0006635069595949562)) + ((708.8242656049608*t+-0.3148869877819721)*(t>=0.0006882770572160652)*(t<0.0008985193071240955))
2,CaChC2PQ3_Membrane,PQ,-0.002351460851113236,-0.10273556231668632,0.42,557,((956.5125055831421*t+-0.4866457548362147)*(t>=0.0006443098473645731)*(t<0.0007457615230021189))
2,CaChC2PQ4_Membrane,PQ,0.026521572187208964,-0.09583772663526516,0.42,406,0.0
2,CaChC2PQ5_Membrane,PQ,0.008213265146830183,-0.0743086609074403,0.42,484,0.0
2,CaChC2PQ6_Membrane,PQ,0.021442860545023208,-0.11709874592564466,0.42,534,((755.8258155942593*t+-0.33634739280135234)*(t>=0.0004984573703732067)*(t<0.0007518111473092524))
2,CaChC2PQ7_Membrane,PQ,-0.009108525357562835,-0.12043747352668671,0.42,210,0.0
2,CaChC2N1_Membrane,N,0.01087240841814506,-0.09509164009882018,0.42,721,0.0
2,CaChC2N2_Membrane,N,0.0026191216792268656,-0.11883557029874675,0.42,327,0.0
2,CaChC2N3_Membrane,N,-0.006987501058310261,-0.08827637699440745,0.42,583,0.0
2,CaChC2N4_Membrane,N,8.775171354665633e-07,-0.09989314026624134,0.42,397,0.0
2,CaChC2N5_Membrane,N,0.012114626649455618,-0.08267486936526103,0.42,413,0.0
2,CaChC2N6_Membrane,N,0.0158136203585709,-0.07858494802724236,0.42,706,0.0
2,CaChC2N7_Membrane,N,0.018389150019448148,-0.12204695684731999,0.42,212,((-403.4676483509445*t+0.23656142201926245)*(t>=0.0004583370001530631)*(t<0.0004800132252654303)) + ((-136.7862686424923*t+0.10841840857740129)*(t>=0.00048122715107589065)*(t<0.0004969757770242339)) + ((782.2850909616873*t+-0.35566192095677635)*(t>=0.0005066045084414802)*(t<0.0007865646328577639))
2,CaChC2N8_Membrane,N,-0.004073652953441025,-0.12856747275253289,0.42,411,0.0
2,CaChC2R1_Membrane,R,-0.01659246634470363,-0.08495343836012714,0.42,58,((979.5807754788359*t+-0.5014990271309478)*(t>=0.0006430116740110093)*(t<0.0006575815556809933)) + ((119.25865670010536*t+0.06508975824973662)*(t>=0.0006585689156836855)*(t<0.0025))
