Cluster Index,Channel Name,Channel Type,x (um),y (um),z (um),Current Index,Current String
1,CaChC1PQ1_Membrane,PQ,-0.027398373973548048,0.09030848445762577,0.42,279,((739.3817734369727*t+-0.35379138170713664)*(t>=0.0005563390530296479)*(t<0.0006075808285273119)) + ((914.1649728772121*t+-0.4601997149862737)*(t>=0.0006182311529880026)*(t<0.0006193137460784544)) + ((962.5067184574567*t+-0.49035458207359395)*(t>=0.0006250284789144866)*(t<0.0006538281104803156)) + ((936.5749348462613*t+-0.4733442865399659)*(t>=0.00065502444113935)*(t<0.0007628264844825172))
1,CaChC1PQ2_Membrane,PQ,0.003178297789501109,0.10139648479015184,0.42,566,0.0
1,CaChC1PQ3_Membrane,PQ,-0.02347435369611979,0.10578344694730116,0.42,655,((969.599320594372*t+-0.4950495705360814)*(t>=0.0006362885436125138)*(t<0.0007281982555814832)) + ((797.1720759598237*t+-0.3690204639733476)*(t>=0.0007323763757624556)*(t<0.0008056975925128943))
1,CaChC1PQ4_Membrane,PQ,0.0005163395928900378,0.07646824486551815,0.42,363,0.0
1,CaChC1PQ5_Membrane,PQ,-0.02706098681053398,0.1039072152457293,0.42,295,((270.57872317957873*t+0.0006078096591622256)*(t>=0.0004003329254525418)*(t<0.0007081023347881979))
1,CaChC1PQ6_Membrane,PQ,0.007897802120246262,0.11004507738800645,0.42,208,((914.2248998116929*t+-0.4596198959131104)*(t>=0.0006002539754291518)*(t<0.0007876031235300789))
1,CaChC1PQ7_Membrane,PQ,0.0024037259245741766,0.08994501743928207,0.42,809,((490.8239060448215*t+-0.14493889018949346)*(t>=0.00043501150006156834)*(t<0.000731698094798058)) + ((808.3851440085273*t+-0.37720128269507147)*(t>=0.0007327027292344542)*(t<0.0007984285838312866))
1,CaChC1N1_Membrane,N,0.025568907173320065,0.1109528343236819,0.42,178,0.0
1,CaChC1N2_Membrane,N,0.01552952199112837,0.08894588857168348,0.42,41,0.0
1,CaChC1N3_Membrane,N,0.01242805696483329,0.07464888055226782,0.42,452,0.0
1,CaChC1N4_Membrane,N,0.008831317351583757,0.11157154006631038,0.42,403,((987.3796128181264*t+-0.506623958367366)*(t>=0.0006557512033753137)*(t<0.0006631522830373199)) + ((987.8651881885986*t+-0.5069457834642039)*(t>=0.0006637057840520805)*(t<0.0006885397608827927))
1,CaChC1N5_Membrane,N,0.0017617609967625716,0.0983952406854127,0.42,45,0.0
1,CaChC1N6_Membrane,N,-0.0029966997744882646,0.1200347931200807,0.42,81,0.0
1,CaChC1N7_Membrane,N,-0.005775631028461554,0.11961642360292697,0.42,466,0.0
1,CaChC1N8_Membrane,N,-0.020684991263946143,0.11459094060146588,0.42,809,0.0
1,CaChC1R1_Membrane,R,0.0049821459160615585,0.07052002746951945,0.42,331,0.0
2,CaChC2PQ1_Membrane,PQ,-0.019275413431676294,-0.08248998822214132,0.42,327,((-38.69195590856092*t+0.05996344671227133)*(t>=0.0004899477788781519)*(t<0.0005038017593395282)) + ((665.2570767087919*t+-0.3053731735702957)*(t>=0.0005253036700941698)*(t<0.000621961758171399)) + ((968.0276189707081*t+-0.493690795367228)*(t>=0.0006221005630071772)*(t<0.0006677356683247305)) + ((807.3675533822043*t+-0.3863766044028401)*(t>=0.0006679303733821288)*(t<0.0008504094080225455))
2,CaChC2PQ2_Membrane,PQ,0.010578954867341919,-0.107527643349313,0.42,494,0.0
2,CaChC2PQ3_Membrane,PQ,-0.00034636579030273277,-0.09161681429404715,0.42,727,((762.4038095185449*t+-0.34660370643595956)*(t>=0.0005081054653566287)*(t<0.0008435212686742149))
2,CaChC2PQ4_Membrane,PQ,0.01712007822660618,-0.0892918170551109,0.42,364,0.0
2,CaChC2PQ5_Membrane,PQ,-0.006025078293210629,-0.08938889999072894,0.42,120,0.0
2,CaChC2PQ6_Membrane,PQ,-0.019075677604797697,-0.10852850486597061,0.42,526,((731.6898845310558*t+-0.3476654092399968)*(t>=0.000547080643751633)*(t<0.0006166726656797996)) + ((940.3507188527974*t+-0.47637946894168043)*(t>=0.0006179121429821977)*(t<0.0006390951368852046)) + ((966.4958132389531*t+-0.49309021505527073)*(t>=0.000639689724342552)*(t<0.000641250065690333)) + ((940.2349256397019*t+-0.47618641422838914)*(t>=0.000643413754987322)*(t<0.000763236039434842))
