Cluster Index,Channel Name,Channel Type,x (um),y (um),z (um),Current Index,Current String
1,CaChC1PQ1_Membrane,PQ,0.014808948259521634,0.0832092226652607,0.42,677,((344.681998627627*t+-0.13018993721904626)*(t>=0.0004952695077749704)*(t<0.0005706923691647168)) + ((842.9521442859608*t+-0.4154243436740161)*(t>=0.000576658353500232)*(t<0.0006272612659442336)) + ((919.0321361672552*t+-0.46312992541654996)*(t>=0.00062805398417729)*(t<0.0007860331721695106))
1,CaChC1PQ2_Membrane,PQ,0.007359388127024685,0.07113789807715909,0.42,283,((942.9050496565305*t+-0.47605615606760887)*(t>=0.0005935019899109803)*(t<0.0007388759157145768)) + ((858.6456903860195*t+-0.41373391246143576)*(t>=0.0007413453654855134)*(t<0.0007575514256940795))
1,CaChC1PQ3_Membrane,PQ,-0.001352741206679918,0.10102887125417874,0.42,442,((726.6424774982999*t+-0.31901398653923074)*(t>=0.0004948256370282068)*(t<0.0008565762617467065))
1,CaChC1PQ4_Membrane,PQ,-0.007449953507173,0.08305937842024459,0.42,3,((934.0536724652187*t+-0.469265592537165)*(t>=0.0005832527411500108)*(t<0.0007053700887643568)) + ((581.8984366616367*t+-0.21858512062421961)*(t>=0.0007114894628955437)*(t<0.0009617716350701291))
1,CaChC1PQ5_Membrane,PQ,-0.005197171494038322,0.09337778911972153,0.42,526,((731.6898845310558*t+-0.3476654092399968)*(t>=0.000547080643751633)*(t<0.0006166726656797996)) + ((940.3507188527974*t+-0.47637946894168043)*(t>=0.0006179121429821977)*(t<0.0006390951368852046)) + ((966.4958132389531*t+-0.49309021505527073)*(t>=0.000639689724342552)*(t<0.000641250065690333)) + ((940.2349256397019*t+-0.47618641422838914)*(t>=0.000643413754987322)*(t<0.000763236039434842))
1,CaChC1PQ6_Membrane,PQ,0.00032647778184774696,0.10771751004079701,0.42,147,((936.0688721279733*t+-0.4719759627215989)*(t>=0.0006746703690783264)*(t<0.000753205078062046))
1,CaChC1PQ7_Membrane,PQ,-0.018748637203145395,0.11764009679713737,0.42,24,0.0
1,CaChC1N1_Membrane,N,0.008056452073018491,0.08719869840483468,0.42,673,((726.4945031827979*t+-0.32087452188682064)*(t>=0.0004973235329058071)*(t<0.0007141608810131054))
1,CaChC1N2_Membrane,N,-0.0018636466128743397,0.09705709716913996,0.42,196,((914.335969248333*t+-0.4562111755512716)*(t>=0.0005748144131365999)*(t<0.0006901513260406027)) + ((871.2019684148228*t+-0.42643089137732615)*(t>=0.0006902576961973119)*(t<0.00079257106632529))
1,CaChC1N3_Membrane,N,0.0049535561716498085,0.12295307018394033,0.42,584,0.0
1,CaChC1N4_Membrane,N,0.020882979196636585,0.09758453088312999,0.42,118,0.0
1,CaChC1N5_Membrane,N,-0.005973183750053811,0.08659509092104455,0.42,916,((568.374689212613*t+-0.25864465968022754)*(t>=0.0005545903892386837)*(t<0.0005576516720070568)) + ((592.368171891784*t+-0.27203241912163834)*(t>=0.0005587110095027017)*(t<0.0005596673287850879)) + ((716.8007814964511*t+-0.3420286622141582)*(t>=0.0005629464190206047)*(t<0.0005916486504954463)) + ((873.535145959632*t+-0.4348316817972382)*(t>=0.0005926698381281893)*(t<0.0006235069068958738)) + ((865.8855693143288*t+-0.4300235382601014)*(t>=0.0006241151727136964)*(t<0.0008303211488179706))
1,CaChC1N6_Membrane,N,-0.0056528225251100475,0.12413874511935388,0.42,805,0.0
1,CaChC1N7_Membrane,N,-0.0034635550099641485,0.1284761489365054,0.42,610,0.0
1,CaChC1N8_Membrane,N,-0.015017369362673493,0.10615671721119546,0.42,344,0.0
1,CaChC1R1_Membrane,R,0.0005132648262913209,0.09777577295735114,0.42,710,((-69.77590281218797*t+0.0757591486301118)*(t>=0.0004839431086783241)*(t<0.0005049185439991626)) + ((729.2158737688472*t+-0.3281753166108069)*(t>=0.0005056856422454473)*(t<0.0008830691089940865))
2,CaChC2PQ1_Membrane,PQ,0.011293689693486141,-0.1238125628177925,0.42,589,((699.9186182454816*t+-0.3326773114419647)*(t>=0.0005651019176354081)*(t<0.0005837585939186959)) + ((919.5130051886997*t+-0.46098161492907297)*(t>=0.0005844807827940888)*(t<0.0007687935087110633))
2,CaChC2PQ2_Membrane,PQ,0.012253754538926213,-0.12140495439919917,0.42,195,((931.1859559136462*t+-0.4684840096786316)*(t>=0.0005888196971208146)*(t<0.0007553663181249402))
2,CaChC2PQ3_Membrane,PQ,-0.0036716439255674413,-0.10158338712500788,0.42,262,0.0
2,CaChC2PQ4_Membrane,PQ,-0.005405107222000948,-0.11038429234062391,0.42,416,0.0
2,CaChC2PQ5_Membrane,PQ,0.0013225709169302658,-0.09980121243843998,0.42,673,0.0
2,CaChC2PQ6_Membrane,PQ,-0.01298330971101406,-0.11919018083820125,0.42,736,((905.3960778919069*t+-0.4485528602474228)*(t>=0.0007165476425517288)*(t<0.0007464958161422431)) + ((814.4543778410551*t+-0.3802858239812944)*(t>=0.0007562806691195263)*(t<0.0007724123793730721))
2,CaChC2PQ7_Membrane,PQ,8.916011259024289e-06,-0.09990222332434631,0.42,208,((914.2248998116929*t+-0.4596198959131104)*(t>=0.0006002539754291518)*(t<0.0007876031235300789))
2,CaChC2N1_Membrane,N,-0.006124085759842537,-0.09644806628463726,0.42,834,0.0
2,CaChC2N2_Membrane,N,-0.02060462087766252,-0.10260014249118121,0.42,62,((986.4446052969721*t+-0.5060037365783951)*(t>=0.0006532494973798628)*(t<0.0006933086615089909)) + ((479.1665408840527*t+-0.15401160862522179)*(t>=0.0006938976269901537)*(t<0.001064964200722866))
2,CaChC2N3_Membrane,N,-0.000551720170171507,-0.10152875134193104,0.42,460,((399.07956681281144*t+-0.10907098494111508)*(t>=0.0004381842476877626)*(t<0.0006757114379911509)) + ((360.14900354455517*t+-0.08051061196830422)*(t>=0.0006793011880237693)*(t<0.0012300221486491241))
